University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
University of Minnesota - Twin Cities (UM),sociology,30000.0,1.31,2016.0,,"For first year.<br>23,000 thereafter.","$30,000",,,,sociology
Case Western Reserve University,genetics,28500.0,1.43,2016.0,1st,nan,"$28,500",,,,genetics
University of Minnesota - Twin Cities (UM),sociology,30000.0,1.31,2016.0,,"For first year.<br>23,000 thereafter.","$30,000",,,,sociology
Cornell University (CU),chemistry,34000.0,1.4,2016.0,1st,nan,"$34,000",,,,chemistry
Wesleyan University,biology,30000.0,1.19,2016.0,,nan,"$30,000",,,,biology
University of Utah,biochemistry,27000.0,1.21,2016.0,3rd,nan,"$27,000",,,,biochemistry
Boston University (BU),pharmacology,32500.0,1.13,2016.0,1st,nan,"$32,500",,,,pharmacology
University of Florida (UF),horticulture,20500.0,0.9,2016.0,1st,nan,"$22,500",,,"$2,000",horticulture
Ohio State University (OSU),sociology,25000.0,1.25,2016.0,,"For first year.<br>21,000 every additional year","$25,000",,,,sociology
University of Vermont (UVM),pharmacology,26200.0,1.01,2016.0,3rd,nan,"$28,000",,,"$1,800",pharmacology
Harvard University (HU),dms,38200.0,1.33,2016.0,1st,Herchel Smith Fellowship,"$38,200",,,,dms
Princeton University,religion,30000.0,1.18,2016.0,1st,nan,"$30,000",,,,religion
University of Pennsylvania,english,30000.0,1.24,2016.0,3rd,nan,"$30,000",,,,english
University of California - San Diego (UCSD),political science,28000.0,1.06,2016.0,,nan,,"$28,000",,,political science
Vanderbilt University,cell and developmental biology,28050.0,1.22,2016.0,6th and up,Parking $600,"$28,500",,,$450,cell and developmental biology
Georgia State University (GSU),biology,21300.0,0.91,2016.0,3rd,nan,"$22,000",,,$700,biology
University of Kentucky (UK),physiology,25000.0,1.22,2016.0,5th,nan,"$25,000",,,,physiology
University of Utah,neurobiology and anatomy/neuroscience,27000.0,1.21,2016.0,4th,nan,"$27,000",,,,neurobiology and anatomy/neuroscience
University of Michigan - Ann Arbor (UM),american culture,25352.0,1.1,2016.0,1st,PhD.<br>/ 2nd year&#39;s summer stipend 8000$.<br>TAship in 2nd and 3rd years.<br>,,"$19,352","$6,000",,american culture
Hofstra Northwell School of Medicine,md/phd program,32000.0,,2016.0,3rd,nan,"$32,000",,,,md/phd program
Norwegian University of Life Sciences,plant sciences,52000.0,,2016.0,1st,nan,"$52,000",,,,plant sciences
Michigan State University (MSU),chemistry,25500.0,1.24,2016.0,1st,If you have masters degree or 1 year teaching experience you will get this amount.<br>Otherwise 24400.,"$25,500",,,,chemistry
University of Southern California (USC),political science,24000.0,0.93,2016.0,1st,nan,"$24,000",,,,political science
Pennsylvania State University (Penn State),bioengineering,24654.0,1.1,2016.0,1st,nan,"$24,654",,,,bioengineering
University of Pennsylvania,cell and molecular biology,31000.0,1.29,2016.0,1st,nan,"$31,000",,,,cell and molecular biology
Boston University (BU),religion,21000.0,0.73,2016.0,5th,nan,,"$21,000",,,religion
University of Georgia (UGA),chemistry,19984.0,0.94,2016.0,5th,nan,"$23,500",,,"$3,516",chemistry
Georgia Institute of Technology (Georgia Tech),aerospace,22700.0,0.97,2016.0,1st,nan,"$26,000",,,"$3,300",aerospace
University of Kansas (KU),molecular and integrative physiology/phd,23025.0,1.13,2016.0,5th,nan,"$24,000",,,$975,molecular and integrative physiology/phd
Drexel University (DU),microbiology &amp; mmunology,28000.0,1.16,2016.0,5th,"Very recent salary bump from $27,000","$29,000",,,"$1,000",microbiology &amp; mmunology
University of Virginia (UVA),politics,18000.0,0.79,2016.0,1st,nan,,"$18,000",,,politics
Massachusetts Institute of Technology (MIT),chemistry,35760.0,1.28,2016.0,1st,nan,"$35,760",,,,chemistry
Harvard University (HU),art history,33120.0,1.16,2016.0,,no teaching until 3rd year,"$33,120",,,,art history
Columbia University (CU),religion,30500.0,1.03,2016.0,2nd,nan,"$30,500",,,,religion
Louisiana State University School of Medicine - New Orleans,genetics,23400.0,1.02,2016.0,5th,nan,"$24,000",,,$600,genetics
George Mason University (GMU),political science,19000.0,0.63,2016.0,1st,nan,,"$19,000",,,political science
Temple University (TU),political science,16500.0,0.68,2016.0,2nd,nan,,"$17,500",,"$1,000",political science
Temple University (TU),mathematics,23505.0,0.97,2016.0,,nan,,"$18,285","$5,920",$700,mathematics
University of Michigan - Ann Arbor (UM),pibs,29025.0,1.26,2016.0,1st,nan,"$29,025",,,,pibs
Temple University (TU),physics,20000.0,0.83,2016.0,5th,nan,,"$18,000","$3,000","$1,000",physics
Temple University (TU),physics,25800.0,1.07,2016.0,2nd,nan,,"$18,000","$9,000","$1,200",physics
Princeton,art history,31400.0,,2016.0,,nan,"$31,400",,,,art history
University of Kentucky (UK),biology,21800.0,1.07,2016.0,1st,"I don&#39;t remember the exact amount of required fees,<br>but it&#39;s at least $200.<br>",,"$22,000",,$200,biology
University of Kentucky (UK),entomology,17500.0,0.86,2016.0,2nd,nan,"$18,000",,,$500,entomology
Johns Hopkins University (JHU),human genetics,31006.0,1.21,2016.0,5th,nan,"$31,006",,,,human genetics
Temple University (TU),english,15789.0,0.65,2016.0,3rd,nan,,"$16,059",,$270,english
University of Michigan - Ann Arbor (UM),sociology,29900.0,1.3,2016.0,6th and up,nan,"$30,000",,,$100,sociology
Johns Hopkins University (JHU),sociology,23500.0,0.91,2016.0,6th and up,nan,,"$23,500",,,sociology
University of Texas - Dallas (UTD),physics,22800.0,1.06,2016.0,,nan,"$22,800",,,,physics
Carnegie Mellon University (CMU),philosophy,20000.0,0.97,2016.0,1st,"There might be extra fees I don&#39;t know yet,<br>but it does include a basic health insurance plan.",,"$20,000",,,philosophy
University of Memphis,computer science,13800.0,0.62,2016.0,1st,nan,"$13,800",,,,computer science
Duke University (DU),political science,29000.0,1.3,2016.0,1st,nan,"$29,000",,,,political science
Northwestern University (NU),chemistry,30500.0,1.26,2016.0,1st,nan,"$30,500",,,,chemistry
University of Texas - Austin (UT),anthropology,14780.0,0.65,2016.0,1st,nan,,"$14,780",,,anthropology
Boston University (BU),sociology,21000.0,0.73,2016.0,1st,nan,,"$21,000",,,sociology
University of Kentucky (UK),entomology,20000.0,0.98,2016.0,1st,nan,"$20,000",,,,entomology
University of North Texas (UNT),english,14000.0,0.65,2016.0,3rd,nan,,"$14,000",,,english
University of Kentucky (UK),english,15000.0,0.73,2016.0,4th,nan,,"$15,000",,,english
University of Kentucky (UK),entomology,17887.0,0.88,2016.0,1st,nan,"$18,000",,,$113,entomology
University of Georgia (UGA),ils,25000.0,1.18,2016.0,1st,nan,"$25,000",,,,ils
Brown University,sociology,27200.0,1.2,2016.0,1st,nan,,"$24,500","$2,700",,sociology
University of Florida (UF),computer and information science and engineering,18000.0,0.79,2016.0,3rd,nan,"$20,000",,,"$2,000",computer and information science and engineering
Temple University (TU),anthropology,20652.0,0.86,2016.0,3rd,"The inequality between the TAs at Temple is not acceptable.<br>This is a divide-and-rule strategy that <span class=""truncated""> eats us all.<br>We should stand up all together and be in solidarity until we all are paid equally!</span>","$21,000",,,$348,anthropology
Indiana University,biology - eeb,25000.0,1.16,2016.0,2nd,"Fees vary based on credits taken,<br>~$1300/term for a 12 credits (the full load while still taking <span class=""truncated""> courses).</span>","$25,000",,,,biology - eeb
University of Kentucky (UK),animal and food sciences,18000.0,0.88,2016.0,2nd,nan,"$18,000",,,,animal and food sciences
Temple University (TU),african american studies,16400.0,0.68,2016.0,4th,nan,,"$17,000",,$600,african american studies
University of Texas - Austin (UT),philosophy,33000.0,1.45,2016.0,1st,"Plus 2,181 supplement for student insurance.","$33,000",,,,philosophy
University of Kentucky (UK),animal and food sciences,14850.0,0.73,2016.0,2nd,nan,"$15,000",,,$150,animal and food sciences
Temple University (TU),urban education,16689.0,0.69,2016.0,3rd,nan,,"$17,604",,$915,urban education
Temple University (TU),educational psychology,25000.0,1.04,2016.0,6th and up,nan,"$25,000",,,,educational psychology
University of Kentucky (UK),biology,20500.0,1.0,2016.0,2nd,nan,,"$21,000",,$500,biology
Columbia University (CU),music,30710.0,1.03,2016.0,2nd,nan,,"$27,270","$3,500",$60,music
Temple University (TU),philosophy,16470.0,0.68,2016.0,3rd,"These numbers are estimates,<br>although I don&#39;t think I&#39;m off by much.<br>",,"$16,770",,$300,philosophy
Harvard University (HU),biological and biomedical sciences,35850.0,1.25,2016.0,,nan,"$36,000",,,$150,biological and biomedical sciences
Ohio State University (OSU),public health: environmental health sciences,15546.0,0.77,2016.0,3rd,nan,"$16,659",,,"$1,113",public health: environmental health sciences
Massachusetts Institute of Technology (MIT),linguistics,28740.0,1.03,2016.0,1st,nan,,"$25,866","$2,874",,linguistics
Temple University (TU),public health: environmental health sciences,20866.0,0.87,2016.0,3rd,nan,,"$17,216","$4,000",$350,public health: environmental health sciences
Temple University (TU),criminal justice,25912.0,1.07,2016.0,6th and up,nan,,"$17,604","$8,608",$300,criminal justice
George Washington University (GW),biology,28000.0,0.91,2017.0,,nan,"$28,000",,,,biology
Emory University,biochemistry,29700.0,1.28,2017.0,1st,nan,"$30,000",,,$300,biochemistry
Oregon State University (OSU),mime,23076.0,1.1,2017.0,4th,nan,"$24,396",,,"$1,320",mime
University of Southern California (USC),psychology,38500.0,1.49,2017.0,1st,nan,,"$30,000","$8,500",,psychology
University of California - San Diego (UCSD),bioinformatics and systems biology,32000.0,1.21,2017.0,1st,nan,"$32,000",,,,bioinformatics and systems biology
University of Chicago (UC),history,23860.0,0.98,2017.0,3rd,"In your third year and up,<br>you have TA responsibilities that are stupidly taken out of your stipend <span class=""truncated""> amount in the following increments: less $6k in your 3rd and 4th years,<br>less $3k in your 5th.<br>Thus,<br>$25k is not a guarantee base stipend beyond your 2nd year--indeed,<br>if you manage to teach more,<br>it will be more,<br>but if you can&#39;t find a position,<br>you will suffer.<br>Health care is covered,<br>but there is a $380/quarter student life fee you pay for every quarter you are on campus,<br>or unless you prove you are living 90 miles away.<br>You apply for the $3k summer dispersement,<br>and it is based on good progress.<br>I do not know of anyone who does not get this.<br>So,<br>in a good year,<br>you make $28k before fees.</span>","$25,000",,,"$1,140",history
Yale University (YU),biological and biomedical sciences,35150.0,1.42,2017.0,1st,nan,"$35,150",,,,biological and biomedical sciences
University of Washington (UW),chemical engineering,31251.0,1.34,2017.0,4th,nan,"$32,352",,,"$1,101",chemical engineering
University of California - Berkeley,anthropolog,26000.0,0.94,2017.0,1st,nan,"$26,000",,,,anthropolog
University of Chicago (UC),music,24000.0,0.99,2017.0,1st,nan,"$24,000",,,,music
CUNY Graduate School and University Center,economics,26128.0,0.88,2017.0,1st,nan,"$26,128",,,,economics
Colorado State University (CSU),biology,22100.0,0.98,2017.0,3rd,nan,"$24,600",,,"$2,500",biology
University of Hawaii - Manoa (UH),political science,17100.0,0.56,2017.0,1st,Costs of living in Hawaii are very high and by far not covered by the stipend,,"$18,000",,$900,political science
New Mexico Institute of Mining and Technology,e&amp;es,12670.0,0.63,2017.0,,"Tuition and insurance are not covered.<br>Avg.<br>tuition per semester is $4,100.<br>Auxiliary and student <span class=""truncated""> fees are about $150 per semester.</span>","$23,670",,,"$11,000",e&amp;es
Georgia Institute of Technology (Georgia Tech),environmental engineering,19000.0,0.82,2017.0,1st,nan,"$24,000",,,"$5,000",environmental engineering
University of Toledo,biomedical sciences,25000.0,1.33,2017.0,,nan,"$25,000",,,,biomedical sciences
University of Toledo,molecular/cell biology,26000.0,1.38,2017.0,2nd,nan,"$26,000",,,,molecular/cell biology
Yale University (YU),public health,34000.0,1.38,2017.0,1st,nan,"$34,000",,,,public health
New York University (NYU),neuroscience phd,36000.0,1.21,2017.0,1st,nan,"$36,000",,,,neuroscience phd
Brown University,economics,26940.0,1.18,2017.0,2nd,nan,"$27,000",,,$60,economics
Northwestern University (NU),driskill graduate program,32000.0,1.32,2017.0,5th,Benefits provided.,"$32,000",,,,driskill graduate program
University of Illinois - Chicago (UIC),neuroscience,27000.0,1.11,2017.0,4th,nan,"$27,000",,,,neuroscience
Vanderbilt University,political science,26000.0,1.13,2017.0,1st,nan,"$26,000",,,,political science
University of Edinburrgh,astronomy,14000.0,,2017.0,4th,nan,"$14,000",,,,astronomy
University of Texas - Austin (UT),government,27000.0,1.18,2017.0,1st,nan,"$27,000",,,,government
University of Wisconsin - Madison (UW),nutritional sciences,24437.0,1.07,2017.0,1st,Health insurance NOT included.<br>This is a RAship with a possible TAship.<br>,"$26,000",,,"$1,563",nutritional sciences
University of Chicago (UC),public policy,25900.0,1.07,2017.0,1st,nan,,"$27,000",,"$1,100",public policy
University of Texas Health Science Center - Houston,bioinformatics,18000.0,0.82,2017.0,1st,nan,,"$18,000",,,bioinformatics
Johns Hopkins University (JHU),philosophy,29000.0,1.13,2017.0,1st,nan,"$29,000",,,,philosophy
Massachusetts Institute of Technology (MIT),"history/anthro/science, technology and society",34368.0,1.23,2017.0,1st,"We are funded for 2 out 3 summer months; student-workers are left to find their own funding for the <span class=""truncated""> 3rd month.<br>*Usually* everyone finds a fellowship,<br>RAship,<br>or job,<br>but not always.<br>

Pay for 1st year is a university fellowship.<br>For all other years,<br>it is a combination of TAships and fellowships.<br>We are guaranteed 5 years funding.<br>Many outside fellowships we win count against stipend funds (excepting those for specifics like research travel).<br>Given Boston&#39;s high cost of living and my student loan payments from undergrad,<br>I often end up relying on a credit line between paydays.<br></span>",,"$28,242","$6,276",$150,"history/anthro/science, technology and society"
University of Kansas (KU),eecs,25600.0,1.25,2017.0,1st,"Toward the higher end since I study something valuable to the DoD.<br> Typical stipends are closer to <span class=""truncated""> 18.5k.</span>","$26,500",,,$900,eecs
University of Pennsylvania,economics,32000.0,1.33,2017.0,1st,nan,,"$32,000",,,economics
California Institute of Technology (Caltech),mechanical engineering,35000.0,1.35,2017.0,1st,nan,"$35,000",,,,mechanical engineering
University of Delaware (UD),history,21000.0,0.83,2017.0,2nd,estimated fees,,"$22,000",,"$1,000",history
Pennsylvania State University (Penn State),immunology and infectious disease,27500.0,1.22,2017.0,5th,nan,"$27,500",,,,immunology and infectious disease
McMaster University,political science,13193.0,,2017.0,4th,Funds are in Canadian dollars,"$19,500",,,"$6,307",political science
Stony Brook University - SUNY,linguistics,18000.0,0.64,2017.0,1st,nan,"$19,500",,,"$1,500",linguistics
Rensselaer Polytechnic Institute (RPI),computer science,25975.0,1.14,2017.0,4th,nan,"$28,975",,,"$3,000",computer science
Yale University (YU),economics,39000.0,1.58,2017.0,1st,nan,"$39,000",,,,economics
University of Colorado - Boulder (UCB),philosophy,18000.0,0.71,2017.0,,nan,"$20,000",,,"$2,000",philosophy
California Institute of Technology (Caltech),biochemistry and molecular biophysics,34000.0,1.31,2017.0,4th,National Science Foundation Graduate Research Fellowship,"$34,000",,,,biochemistry and molecular biophysics
University of Alabama - Birmingham (UAB),mathematics,24000.0,1.11,2017.0,2nd,nan,"$24,000",,,,mathematics
University of Washington (UW),physics,28300.0,1.22,2017.0,4th,nan,"$29,500",,,"$1,200",physics
University of Minnesota - Twin Cities (UM),physics,25992.0,1.13,2017.0,1st,nan,"$25,992",,,,physics
University of Utah,geology,23832.0,1.07,2017.0,4th,"Not all students are guaranteed to be paid for all semesters (including summer),<br>and tuition <span class=""truncated""> benefit runs out after 5 years for those without MS,<br>and 4 years for those with MS.<br>Thus,<br>to be enrolled (which you must be for health insurance and to defend)<br>the student must pay tuition out of pocket.</span>","$24,000",,,$168,geology
University of Missouri - Kansas City (UMKC),counseling psychology,12000.0,0.58,2017.0,1st,Tuition remission for 3 credit hours a semester.<br>,"$12,000",,,,counseling psychology
Massachusetts Institute of Technology (MIT),electrical engineering and computer science,39600.0,1.42,2017.0,1st,nan,"$39,600",,,,electrical engineering and computer science
University of Michigan - Ann Arbor (UM),business,29800.0,1.29,2017.0,,nan,"$30,000",,,$200,business
Cornell University (CU),biological and environmental engineering,32950.0,1.36,2017.0,4th,Includes health insurance,"$33,000",,,$50,biological and environmental engineering
University of Texas - Dallas (UTD),bbs / neuroscience,20000.0,0.93,2017.0,5th,No health insurance included,"$20,000",,,,bbs / neuroscience
Texas A&amp;amp;M; University - College Station,nan,27000.0,,2017.0,1st,nan,"$27,000",,,,nan
University of Utah,eeob,23000.0,1.03,2017.0,1st,nan,"$23,000",,,,eeob
University of Massachusetts - Amherst (UMass),management,22300.0,0.97,2017.0,1st,nan,,"$20,000","$2,300",,management
Massachusetts College of Pharmacy and Health Sciences,pharmaceutical sciences,21000.0,0.73,2017.0,2nd,no health insurance,,"$17,000","$6,000","$2,000",pharmaceutical sciences
University of Washington (UW),physics,26000.0,1.12,2017.0,5th,"Seattle,<br>unionized","$27,000",,,"$1,000",physics
Emory University,imp,30000.0,1.29,2017.0,2nd,nan,"$31,000",,,"$1,000",imp
Syracuse University,nan,10700.0,0.5,2017.0,1st,nan,,"$18,700",,"$8,000",nan
Georgetown University,government,34000.0,1.1,2017.0,1st,"$14.5K each semester and $5K summers (must apply after the first year).<br>One of the best offers out <span class=""truncated""> there for poli sci/government </span>",,"$29,000","$5,000",,government
Polytechnic Institute of New York University,chemical and biomolecular engineering,31200.0,1.05,2017.0,1st,nan,"$31,200",,,,chemical and biomolecular engineering
University of Notre Dame (ND),chemical and biomolecular engineering,30000.0,1.47,2017.0,1st,nan,"$30,000",,,,chemical and biomolecular engineering
University of Massachusetts - Amherst (UMass),political science,19175.0,0.84,2017.0,5th,nan,"$19,175",,,,political science
University of Nebraska - Lincoln (NU),psychology,19464.0,1.0,2017.0,5th,nan,"$21,650",,,"$2,186",psychology
University of Texas - Dallas (UTD),psychological sciences,18600.0,0.86,2017.0,5th,nan,"$18,600",,,,psychological sciences
University of Miami (UM),history,21000.0,0.88,2017.0,5th,nan,"$21,500",,,$500,history
University of Warwick (UK),computer science,21000.0,,2017.0,4th,Rounded to include paid TA duties,"$21,000",,,,computer science
Irell &amp; Manella Graduate School of Biological Sciences at Beckman Research Institute,nan,33850.0,,2017.0,6th and up,This is the graduate program at the Beckman Research Institute at The City of Hope in Duarte CA,"$34,000",,,$150,nan
University of California - Berkeley,chemistry,36000.0,1.3,2017.0,1st,"TA stipend paid on top of extental fellowship,<br>amounts to ~10K bonus","$36,000",,,,chemistry
Columbia University (CU),"integrated cellular, molecular, and biomedical studies",39510.0,1.33,2017.0,1st,Also includes free health insurance.<br>,"$39,510",,,,"integrated cellular, molecular, and biomedical studies"
University of California - San Francisco (UCSF),bioinformatics,37000.0,1.24,2017.0,,nan,"$37,000",,,,bioinformatics
Georgia State University (GSU),"film, media and theatre",15000.0,0.64,2017.0,4th,nan,"$15,000",,,,"film, media and theatre"
University of California - Los Angeles (UCLA),aerospace engineering,34000.0,1.31,2017.0,2nd,NSF GRFP,"$34,000",,,,aerospace engineering
,driskill graduate program,32000.0,,2017.0,5th,Benefits provided.,"$32,000",,,,driskill graduate program
Cornell University (CU),business,37600.0,1.55,2017.0,,nan,"$37,600",,,,business
University at Buffalo - SUNY,social work,18000.0,0.86,2017.0,1st,nan,"$18,000",,,,social work
University of Denver (DU),social work,18000.0,0.8,2017.0,1st,nan,,"$18,000",,,social work
University of Alabama (UA),physics,24996.0,1.19,2017.0,1st,nan,"$24,996",,,,physics
University of Alabama (UA),physics,22999.0,1.09,2017.0,1st,nan,,"$18,999","$4,000",,physics
Columbia University (CU),classical studies,33000.0,1.11,2017.0,1st,nan,"$33,000",,,,classical studies
University of Cincinnati (UC),"molecular genetics, biochemistry, microbiology",26000.0,1.35,2017.0,3rd,nan,"$26,000",,,,"molecular genetics, biochemistry, microbiology"
Virginia Tech,chemistry,47393.0,2.25,2017.0,1st,nan,,"$52,593",,"$5,200",chemistry
Virginia Tech,chemistry,18193.0,0.86,2017.0,1st,nan,,"$23,393",,"$5,200",chemistry
University of Minnesota - Twin Cities (UM),mechanical engineering,46500.0,2.03,2017.0,1st,nan,"$46,500",,,,mechanical engineering
University of Southern California (USC),health economics,36312.0,1.4,2017.0,1st,Health insurance and dental is covered too.<br>Guaranteed for 5 years.,"$36,312",,,,health economics
Duke University (DU),biostatistics &amp; bioinformatics,30310.0,1.36,2017.0,2nd,nan,"$30,310",,,,biostatistics &amp; bioinformatics
University of Pennsylvania,annenberg school,31000.0,1.29,2017.0,1st,nan,"$31,000",,,,annenberg school
University of Minnesota - Twin Cities (UM),anthropology,16395.0,0.72,2017.0,1st,nan,"$17,895",,,"$1,500",anthropology
University at Buffalo - SUNY,economics,13500.0,0.64,2017.0,3rd,nan,,"$14,500",,"$1,000",economics
University of Pittsburgh,history,18500.0,0.89,2017.0,6th and up,nan,"$18,500",,,,history
University of Maryland - Baltimore County (UMBC),chemistry &amp; biochemistry,20811.0,0.81,2017.0,2nd,Required fees reflect fees for the entire year,"$23,811",,,"$3,000",chemistry &amp; biochemistry
Northwestern University (NU),driskill graduate program,32000.0,1.32,2017.0,5th,nan,"$32,000",,,,driskill graduate program
Duke University (DU),economics,30300.0,1.36,2017.0,1st,nan,,"$25,000","$5,500",$200,economics
Pennsylvania State University (Penn State),mathematics,26000.0,1.16,2017.0,1st,nan,,"$25,000","$1,000",,mathematics
University of Wyoming,botany,12000.0,,2017.0,2nd,Free basic healthcare and insurance included as well as full tuition.,,"$12,000",,,botany
University of California - Riverside (UCR),biochemistry and molecular biology,21000.0,0.87,2017.0,1st,nan,"$21,000",,,,biochemistry and molecular biology
University of Leeds,nan,18406.0,,2017.0,3rd,nan,"$18,406",,,,nan
University of Washington (UW),master of science in mechanical engineering,20700.0,0.89,2017.0,1st,nan,,"$20,700",,,master of science in mechanical engineering
Pennsylvania State University (Penn State),geoscience,24620.0,1.1,2017.0,1st,"Not SURE about this info,<br>ballpark",,"$24,620",,,geoscience
University of Iowa (UI),sociology,18493.0,0.83,2017.0,1st,Guaranteed funding for 4 years.<br>Funding offer includes a tuition waiver and health insurance.<br>,,"$19,000",,$507,sociology
Oregon Health and Science University,pmcb,29000.0,1.24,2017.0,1st,nan,"$29,000",,,,pmcb
Purdue University - West Lafayette,counseling psychology,16700.0,0.79,2017.0,2nd,Tuition waiver; Health insurance with dental and vision,,"$17,100",,$400,counseling psychology
University of Rochester (UR),political science,27000.0,1.26,2017.0,1st,nan,,"$27,600",,$600,political science
Pennsylvania State University (Penn State),physics,26500.0,1.18,2017.0,4th,Health insurance costs ~50/month.<br>,"$26,500",,,,physics
Baylor College of Medicine,biochemistry,29925.0,1.37,2017.0,3rd,nan,"$30,000",,,$75,biochemistry
University of California - Davis (UCD),economics,20500.0,0.85,2017.0,1st,nan,"$20,500",,,,economics
,nan,30200.0,,2017.0,1st,nan,"$30,200",,,,nan
University of Virginia (UVA),psychology,24000.0,1.05,2017.0,1st,nan,"$24,000",,,,psychology
Michigan Technological University (MTU),mechanical engineering,23685.0,1.17,2017.0,2nd,nan,"$23,685",,,,mechanical engineering
Michigan Technological University (MTU),mechanical engineering,23685.0,1.17,2017.0,2nd,nan,"$23,685",,,,mechanical engineering
Polytechnic Institute of New York University,mechanical engineering/phd,30000.0,1.01,2017.0,1st,nan,"$30,000",,,,mechanical engineering/phd
Virginia Commonwealth University (VCU),integrative life sciences,25000.0,1.01,2017.0,4th,nan,"$25,000",,,,integrative life sciences
Johns Hopkins University (JHU),bloomberg school of public health/phd in health policy and management,11000.0,0.43,2017.0,4th,nan,"$11,000",,,,bloomberg school of public health/phd in health policy and management
University of California - San Diego (UCSD),neurosciences,34000.0,1.28,2017.0,1st,nan,"$34,000",,,,neurosciences
University of South Carolina (USC),sociology,12631.0,0.56,2017.0,1st,"Guaranteed funding for 5 years.<br>Funding offer includes a tuition waiver and health insurance (No <span class=""truncated""> vision or dental).</span>",,"$13,400",,$769,sociology
Pennsylvania State University (Penn State),english,31000.0,1.38,2017.0,1st,nan,,"$25,000","$6,000",,english
Northwestern University (NU),mechanical engineering,31800.0,1.31,2017.0,4th,nan,"$32,000",,,$200,mechanical engineering
Binghamton University - SUNY,anthropology,20000.0,0.97,2017.0,1st,nan,"$21,000",,,"$1,000",anthropology
University of Oxford ,business,14553.0,,2017.0,1st,pay is in pounds.<br>paid at the RCUK minimum.<br>,"$14,553",,,,business
George Mason University (GMU),"criminology, law &amp; society",23910.0,0.79,2017.0,5th,nan,,"$20,000","$3,910",,"criminology, law &amp; society"
"National University of Ireland, Galway",anatomy/neuroimaging,14782.0,,2017.0,1st,Fees paid for ,"$14,782",,,,anatomy/neuroimaging
Cornell University (CU),astronomy,31000.0,1.28,2017.0,3rd,nan,"$31,000",,,,astronomy
Baylor University (BU),biology,21000.0,1.06,2017.0,6th and up,"Opportunities exist to get some of your class fees covered.<br>Class fees vary widely,<br>of course,<br><span class=""truncated""> depending on number of hours being taken.</span>","$22,000",,,"$1,000",biology
Temple University (TU),chemistry phd,31750.0,1.32,2017.0,1st,Presidential Fellowship,"$32,000",,,$250,chemistry phd
,biological science,20500.0,,2017.0,4th,"Health insurance not included and no help from uni.<br>Could purchase health insurance for <span class=""truncated""> $1200/semester spring and fall and $600 for summer.<br>Could purchase additional legal protection and free walk ins at OU clinic for about $70/a  piece per semester</span>","$21,500",,,"$1,000",biological science
University of Central Florida (UCF),ee,25000.0,1.08,2017.0,1st,After tax is 20K.,"$25,000",,,,ee
Columbia University (CU),philosophy phd,33850.0,1.14,2017.0,1st,"$45 annual fee,<br>one time $105 fee,<br>subsidized housing available (~60-70% market rate)","$34,000",,,$150,philosophy phd
Georgetown University,chemistry phd,32071.0,1.04,2017.0,4th,nan,"$32,071",,,,chemistry phd
Teachers College Columbia University (CU) ,human development,24500.0,,2017.0,1st,nan,"$25,000",,,$500,human development
Ohio University (OU),biological science,20500.0,0.98,2017.0,4th,"Health insurance not included and no help from uni.<br>Could purchase health insurance for <span class=""truncated""> $1200/semester spring and fall and $600 for summer.<br>Could purchase additional legal protection and free walk ins at OU clinic for about $70/a  piece per semester</span>","$21,500",,,"$1,000",biological science
University of Washington (UW),chemistry,30154.0,1.3,2017.0,5th,nan,"$31,300",,,"$1,146",chemistry
Kansas State University (K-State),chemistry,24500.0,1.11,2017.0,1st,nan,"$27,000",,,"$2,500",chemistry
George Washington University (GW),chemistry,31950.0,1.04,2017.0,2nd,nan,"$32,000",,,$50,chemistry
Clemson University (CU),psychology,14878.0,0.71,2017.0,1st,nan,,"$12,000","$4,000","$1,122",psychology
Clemson University (CU),psychology/industrial-organizational psychology,14878.0,0.71,2017.0,1st,nan,,"$12,000","$4,000","$1,122",psychology/industrial-organizational psychology
University of Virginia (UVA),economics,20000.0,0.88,2017.0,5th,nan,,"$20,000",,,economics
University of Washington (UW),chemical engineering,30671.0,1.32,2017.0,3rd,No income taxes in Washington state.<br>My historical federal tax rate last year was about 8.7%.<br>,"$31,800",,,"$1,129",chemical engineering
Clemson University (CU),psychology,14878.0,0.71,2017.0,1st,nan,,"$12,000","$4,000","$1,122",psychology
Polytechnic Montreal,computer engineering,16500.0,,2017.0,1st,nan,"$20,000",,,"$3,500",computer engineering
Arizona State University (ASU),nan,15000.0,0.68,2017.0,1st,nan,"$15,000",,,,nan
University of Chicago (UC),psychology,27000.0,1.11,2017.0,1st,nan,"$30,000",,,"$3,000",psychology
Rutgers the State University of New Jersey - New Brunswick,ecology &amp; evolution,26500.0,1.03,2017.0,6th and up,"9-month TA salary.<br>Fees and tuition waived.<br>Had to sign up for health insurance,<br>but it was very <span class=""truncated""> good health insurance at an affordable price (I had pregnancy complications and had a baby during this academic year and didn&#39;t pay a dime beyond $15 copays for some of my pre-natal appointments (less than 10 but don&#39;t remember exactly how many)).<br>Grad student TAs and RAs are in the same union as faculty.<br>Cost of living in central NJ is really high so I think it would be impossible to live alone on this stipend - everyone had housemates or lived with a partner.</span>",,"$26,500",,,ecology &amp; evolution
Louisiana State University - Baton Rouge,english,14800.0,0.68,2017.0,1st,nan,,"$17,800",,"$3,000",english
